Ship Type,Year of construction,Period of operation,Aggregate months service,Number of damage incidents,Necessarily Empty Cell,Accidentally Empty Cell
A,1960-64,1960-74,127,0,FALSE,FALSE
A,1960-64,1975-79,63,0,FALSE,FALSE
A,1965-69,1960-74,1095,3,FALSE,FALSE
A,1965-69,1975-79,1095,4,FALSE,FALSE
A,1970-74,1960-74,1512,6,FALSE,FALSE
A,1970-74,1975-79,3353,18,FALSE,FALSE
A,1975-79,1960-74,0,0,TRUE,FALSE
A,1975-79,1975-79,2244,11,FALSE,FALSE
B,1960-64,1960-74,44882,39,FALSE,FALSE
B,1960-64,1975-79,17176,29,FALSE,FALSE
B,1965-69,1960-74,28609,58,FALSE,FALSE
B,1965-69,1975-79,20370,53,FALSE,FALSE
B,1970-74,1960-74,7064,12,FALSE,FALSE
B,1970-74,1975-79,13099,44,FALSE,FALSE
B,1975-79,1960-74,0,0,TRUE,FALSE
B,1975-79,1975-79,7117,18,FALSE,FALSE
C,1960-64,1960-74,1179,1,FALSE,FALSE
C,1960-64,1975-79,552,1,FALSE,FALSE
C,1965-69,1960-74,781,0,FALSE,FALSE
C,1965-69,1975-79,676,1,FALSE,FALSE
C,1970-74,1960-74,783,6,FALSE,FALSE
C,1970-74,1975-79,1948,2,FALSE,FALSE
C,1975-79,1960-74,0,0,TRUE,FALSE
C,1975-79,1975-79,274,1,FALSE,FALSE
D,1960-64,1960-74,251,0,FALSE,FALSE
D,1960-64,1975-79,105,0,FALSE,FALSE
D,1965-69,1960-74,288,0,FALSE,FALSE
D,1965-69,1975-79,192,0,FALSE,FALSE
D,1970-74,1960-74,349,2,FALSE,FALSE
D,1970-74,1975-79,1208,11,FALSE,FALSE
D,1975-79,1960-74,0,0,TRUE,FALSE
D,1975-79,1975-79,2051,4,FALSE,FALSE
E,1960-64,1960-74,45,0,FALSE,FALSE
E,1960-64,1975-79,0,0,FALSE,TRUE
E,1965-69,1960-74,789,7,FALSE,FALSE
E,1965-69,1975-79,437,7,FALSE,FALSE
E,1970-74,1960-74,1157,5,FALSE,FALSE
E,1970-74,1975-79,2161,12,FALSE,FALSE
E,1975-79,1960-74,0,0,TRUE,FALSE
E,1975-79,1975-79,542,1,FALSE,FALSE
